21/11/2023 13:33:19 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 13:40:25 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 13:42:38 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 13:54:30 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 13:54:49 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 13:55:19 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 13:58:46 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 14:06:26 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 14:08:56 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 14:11:36 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 14:13:05 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 14:13:29 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
21/11/2023 14:13:43 - ES01855 -  SELECT pend.empresa_titular AS EMPRESA, pend.cups13, ps.CUPS20, pend.mes as aaaammPdte, pend.estado, pend.subestado FROM med.dt_vw_ed_f_detalle_pendiente_facturar_agrupado pend LEFT OUTER JOIN cont.PS_AT ps ON ps.IDU = pend.cups13 ORDER BY pend.empresa_titular,  pend.cups13, pend.mes ASC
